ID	Действие	Старый URL	Итоговый URL	Файл в репозитории	Canonical URL	Индексируемость	Статус публикации
26	NEW	/web-studiya/seo-prodvizhenie/yandex	/web-studiya/seo-prodvizhenie/yandex	site_mirror/web-studiya/seo-prodvizhenie/yandex/index.html	https://raskrutov.kz/web-studiya/seo-prodvizhenie/yandex	index, follow	Не опубликована
27	UPDATE	/seo-prodvizhenie-sajtov-v-petropavlovske	/seo-prodvizhenie-sajtov-v-petropavlovske	site_mirror/seo-prodvizhenie-sajtov-v-petropavlovske/index.html	https://raskrutov.kz/seo-prodvizhenie-sajtov-v-petropavlovske	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
28	UPDATE	/seo-prodvizhenie-sajtov-v-astane	/seo-prodvizhenie-sajtov-v-astane	site_mirror/seo-prodvizhenie-sajtov-v-astane/index.html	https://raskrutov.kz/seo-prodvizhenie-sajtov-v-astane	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
29	UPDATE	/seo-prodvizhenie-sajtov-v-almaty	/seo-prodvizhenie-sajtov-v-almaty	site_mirror/seo-prodvizhenie-sajtov-v-almaty/index.html	https://raskrutov.kz/seo-prodvizhenie-sajtov-v-almaty	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
30	UPDATE	/seo-prodvizhenie-sajtov-v-shimkente	/seo-prodvizhenie-sajtov-v-shimkente	site_mirror/seo-prodvizhenie-sajtov-v-shimkente/index.html	https://raskrutov.kz/seo-prodvizhenie-sajtov-v-shimkente	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
31	UPDATE	/seo-prodvizhenie-sajtov-v-karagande	/seo-prodvizhenie-sajtov-v-karagande	site_mirror/seo-prodvizhenie-sajtov-v-karagande/index.html	https://raskrutov.kz/seo-prodvizhenie-sajtov-v-karagande	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
32	KEEP	/web-studiya/aeo-prodvizhenie; /web-studiya/aeo-geo-prodvizhenie	/web-studiya/aeo-geo-prodvizhenie	site_mirror/web-studiya/aeo-geo-prodvizhenie/index.html	https://raskrutov.kz/web-studiya/aeo-geo-prodvizhenie	index, follow	Опубликована (sitemap)
33	KEEP	/web-studiya/kontekstnaya-reklama	/web-studiya/kontekstnaya-reklama	site_mirror/web-studiya/kontekstnaya-reklama/index.html	https://raskrutov.kz/web-studiya/kontekstnaya-reklama	index, follow	Опубликована (sitemap)
34	UPDATE	/contextnaya-reklama-google; /web-studiya/kontekstnaya-reklama/google-ads	/contextnaya-reklama-google	site_mirror/contextnaya-reklama-google/index.html	https://raskrutov.kz/contextnaya-reklama-google	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
35	UPDATE	/contextnaya-reklama-yandex; /web-studiya/kontekstnaya-reklama/yandex-direct	/contextnaya-reklama-yandex	site_mirror/contextnaya-reklama-yandex/index.html	https://raskrutov.kz/contextnaya-reklama-yandex	index, follow	Старый URL с данными GSC; сохранить и проверить доступность
36	KEEP	/web-studiya/lidogeneratsiya	/web-studiya/lidogeneratsiya	site_mirror/web-studiya/lidogeneratsiya/index.html	https://raskrutov.kz/web-studiya/lidogeneratsiya	index, follow	Опубликована (sitemap)
37	KEEP	/web-studiya/podderzhka-saytov	/web-studiya/podderzhka-saytov	site_mirror/web-studiya/podderzhka-saytov/index.html	https://raskrutov.kz/web-studiya/podderzhka-saytov	index, follow	Опубликована (sitemap)
38	KEEP	/web-studiya/digital-konsalting	/web-studiya/digital-konsalting	site_mirror/web-studiya/digital-konsalting/index.html	https://raskrutov.kz/web-studiya/digital-konsalting	index, follow	Опубликована (sitemap)
39	NEW	/web-studiya/digital-konsalting/audit-sayta	/web-studiya/digital-konsalting/audit-sayta	site_mirror/web-studiya/digital-konsalting/audit-sayta/index.html	https://raskrutov.kz/web-studiya/digital-konsalting/audit-sayta	index, follow	Не опубликована
40	NEW	/web-studiya/digital-konsalting/audit-prodvizheniya	/web-studiya/digital-konsalting/audit-prodvizheniya	site_mirror/web-studiya/digital-konsalting/audit-prodvizheniya/index.html	https://raskrutov.kz/web-studiya/digital-konsalting/audit-prodvizheniya	index, follow	Не опубликована
41	NEW	/web-studiya/digital-konsalting/digital-strategiya	/web-studiya/digital-konsalting/digital-strategiya	site_mirror/web-studiya/digital-konsalting/digital-strategiya/index.html	https://raskrutov.kz/web-studiya/digital-konsalting/digital-strategiya	index, follow	Не опубликована
42	NEW	/web-studiya/digital-konsalting/konsultatsiya-dlya-biznesa	/web-studiya/digital-konsalting/konsultatsiya-dlya-biznesa	site_mirror/web-studiya/digital-konsalting/konsultatsiya-dlya-biznesa/index.html	https://raskrutov.kz/web-studiya/digital-konsalting/konsultatsiya-dlya-biznesa	index, follow	Не опубликована
43	NEW	/crm	/crm	site_mirror/crm/index.html	https://raskrutov.kz/crm	index, follow	Не опубликована
44	NEW	/crm/vnedrenie-crm	/crm/vnedrenie-crm	site_mirror/crm/vnedrenie-crm/index.html	https://raskrutov.kz/crm/vnedrenie-crm	index, follow	Не опубликована
45	NEW	/crm/avtomatizatsiya-prodazh	/crm/avtomatizatsiya-prodazh	site_mirror/crm/avtomatizatsiya-prodazh/index.html	https://raskrutov.kz/crm/avtomatizatsiya-prodazh	index, follow	Не опубликована
46	NEW	/crm/integratsiya-s-crm	/crm/integratsiya-s-crm	site_mirror/crm/integratsiya-s-crm/index.html	https://raskrutov.kz/crm/integratsiya-s-crm	index, follow	Не опубликована
47	KEEP	/akademiya	/akademiya	site_mirror/akademiya/index.html	https://raskrutov.kz/akademiya	index, follow	Опубликована (sitemap)
48	NEW	/akademiya/obuchenie-sozdaniyu-saytov	/akademiya/obuchenie-sozdaniyu-saytov	site_mirror/akademiya/obuchenie-sozdaniyu-saytov/index.html	https://raskrutov.kz/akademiya/obuchenie-sozdaniyu-saytov	index, follow	Не опубликована
49	NEW	/akademiya/obuchenie-seo-aeo	/akademiya/obuchenie-seo-aeo	site_mirror/akademiya/obuchenie-seo-aeo/index.html	https://raskrutov.kz/akademiya/obuchenie-seo-aeo	index, follow	Не опубликована
50	NEW	/akademiya/obuchenie-r-builder	/akademiya/obuchenie-r-builder	site_mirror/akademiya/obuchenie-r-builder/index.html	https://raskrutov.kz/akademiya/obuchenie-r-builder	index, follow	Не опубликована
51	NEW	/akademiya/korporativnoe-obuchenie	/akademiya/korporativnoe-obuchenie	site_mirror/akademiya/korporativnoe-obuchenie/index.html	https://raskrutov.kz/akademiya/korporativnoe-obuchenie	index, follow	Не опубликована
52	KEEP	/r-builder	/r-builder	site_mirror/r-builder/index.html	https://raskrutov.kz/r-builder	index, follow	Опубликована (sitemap)
53	NEW	/r-builder/chto-takoe-r-builder	/r-builder/chto-takoe-r-builder	site_mirror/r-builder/chto-takoe-r-builder/index.html	https://raskrutov.kz/r-builder/chto-takoe-r-builder	index, follow	Не опубликована
